INFO 2026-05-03 15:31:26,602 autoreload 22860 24620 Watching for file changes with StatReloader
INFO 2026-05-03 17:09:41,411 log 19624 10876 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
WARNING 2026-05-03 17:11:09,163 log 19624 15792 Bad Request: /api/v1/auth/login/
WARNING 2026-05-03 17:11:09,164 log 19624 15792 "POST /api/v1/auth/login/ HTTP/1.1" 400 107
WARNING 2026-05-03 17:11:18,496 log 19624 22800 Bad Request: /api/v1/auth/login/
WARNING 2026-05-03 17:11:18,497 log 19624 22800 "POST /api/v1/auth/login/ HTTP/1.1" 400 107
WARNING 2026-05-03 17:11:58,374 log 19624 11680 Bad Request: /api/v1/auth/login/
WARNING 2026-05-03 17:11:58,375 log 19624 11680 "POST /api/v1/auth/login/ HTTP/1.1" 400 81
INFO 2026-05-03 17:17:12,850 log 19624 13304 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:19:04,809 log 19624 15412 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:20:11,514 log 19624 23860 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:20:11,535 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:20:11,873 log 19624 19652 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:20:11,878 log 19624 19652 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:20:12,070 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:20:43,782 log 19624 23860 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:20:43,800 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:20:43,822 log 19624 19652 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:20:43,829 log 19624 19652 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:20:44,060 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:21:20,082 log 19624 23860 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:21:20,102 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:21:20,122 log 19624 19652 "GET /admin/ HTTP/1.1" 302 0
